,pct_change,acc_pct_change,pos_change_in_a_row,neg_change_in_a_row,RSI_14,Close_Minus_SuperTrend,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Close_Minus_EMA_200,Close_Minus_EMA_100,Close_Minus_EMA_50,Close_Minus_EMA_20,IS_EMA_Ribbon,Minute_Number,is_win
10304,0.002,0.004,2,0,79.86,0.40000000000000036,0.177,0.047,0.13,0.932,0.692,0.517,0.308,1,9.0,0
10305,-0.004,-0.004,0,1,75.11,0.33999999999999986,0.176,0.037,0.139,0.883,0.64,0.459,0.243,1,10.0,0
10306,-0.002,-0.006,0,2,72.78,0.3199999999999985,0.172,0.026,0.146,0.855,0.607,0.421,0.202,1,11.0,0
10307,0.005,0.005,1,0,74.88,0.3699999999999992,0.17,0.02,0.151,0.896,0.644,0.453,0.228,1,12.0,0
10308,-0.004,-0.004,0,1,70.21,0.3299999999999983,0.164,0.011,0.153,0.847,0.592,0.397,0.17,1,13.0,0
10309,-0.014,-0.018000000000000002,0,2,57.64,0.1999999999999993,0.147,-0.005,0.152,0.71,0.453,0.256,0.036,1,14.0,1
10310,0.003,0.003,1,0,59.45,0.22999999999999865,0.134,-0.014,0.148,0.733,0.474,0.275,0.06,1,15.0,1
10311,0.007,0.01,2,0,62.85,0.28999999999999915,0.127,-0.017,0.144,0.785,0.523,0.322,0.108,1,16.0,1
10312,-0.001,-0.001,0,1,61.92,0.27999999999999936,0.12,-0.019,0.139,0.767,0.503,0.3,0.089,1,17.0,1
10313,-0.001,-0.002,0,2,60.94,0.2699999999999996,0.112,-0.022,0.134,0.75,0.483,0.278,0.071,1,18.0,1
10314,0.003,0.003,1,0,62.84,0.29999999999999893,0.107,-0.022,0.128,0.772,0.503,0.296,0.092,1,19.0,1
10315,0.009,0.012,2,0,67.37,0.33000000000000007,0.108,-0.016,0.124,0.843,0.571,0.361,0.155,1,20.0,0
10316,-0.001,-0.001,0,1,66.28,0.27999999999999936,0.107,-0.014,0.121,0.825,0.55,0.338,0.132,1,21.0,0
10317,0.002,0.002,1,0,67.42,0.27999999999999936,0.106,-0.012,0.118,0.837,0.559,0.344,0.137,1,22.0,0
10318,0.004,0.006,2,0,69.62,0.27000000000000135,0.108,-0.008,0.116,0.868,0.587,0.369,0.16,1,23.0,0
10319,-0.001,-0.001,0,1,68.38,0.23000000000000043,0.107,-0.007,0.114,0.849,0.566,0.345,0.136,1,24.0,0
10320,0.002,0.002,1,0,69.55,0.2400000000000002,0.107,-0.006,0.113,0.861,0.574,0.35,0.141,1,25.0,0
10321,0.004,0.006,2,0,71.8,0.22999999999999865,0.109,-0.003,0.112,0.892,0.602,0.375,0.164,1,26.0,0
10322,-0.001,-0.001,0,1,70.4,0.1999999999999993,0.108,-0.003,0.111,0.873,0.58,0.351,0.139,1,27.0,0
10323,-0.001,-0.002,0,2,68.95,0.1899999999999995,0.105,-0.005,0.11,0.854,0.559,0.327,0.117,1,28.0,0
10324,-0.001,-0.003,0,3,67.45,0.17999999999999972,0.101,-0.007,0.108,0.836,0.538,0.305,0.097,1,29.0,0
10325,-0.005,-0.008,0,4,60.4,0.129999999999999,0.093,-0.012,0.105,0.778,0.478,0.245,0.042,1,30.0,0
10326,-0.005,-0.013000000000000001,0,5,54.29,0.08000000000000007,0.082,-0.019,0.1,0.721,0.42,0.187,-0.007,1,31.0,0
10327,-0.001,-0.014000000000000002,0,6,53.13,0.07000000000000028,0.071,-0.024,0.095,0.704,0.402,0.17,-0.015,1,32.0,0
10328,0.004,0.004,1,0,57.07,0.10999999999999943,0.065,-0.024,0.089,0.736,0.433,0.202,0.022,1,33.0,0
10329,0.003,0.007,2,0,59.81,0.1399999999999988,0.062,-0.021,0.083,0.759,0.454,0.223,0.047,1,34.0,0
10330,-0.002,-0.002,0,1,57.19,0.11999999999999922,0.057,-0.021,0.078,0.732,0.425,0.195,0.025,1,35.0,0
10331,-0.002,-0.004,0,2,54.62,0.09999999999999964,0.051,-0.022,0.073,0.704,0.397,0.168,0.004,1,36.0,0
10332,-0.005,-0.009000000000000001,0,3,48.73,0.049999999999998934,0.042,-0.025,0.066,0.648,0.34,0.113,-0.041,1,37.0,0
10333,-0.003,-0.012,0,4,45.55,0.019999999999999574,0.032,-0.028,0.06,0.612,0.304,0.08,-0.065,1,38.0,1
10334,0.002,0.002,1,0,47.98,0.03999999999999915,0.025,-0.028,0.053,0.625,0.318,0.096,-0.04,1,39.0,0
10335,-0.008,-0.008,0,1,41.06,-0.20000000000000107,0.014,-0.031,0.045,0.55,0.243,0.025,-0.1,1,40.0,1
10336,-0.001,-0.009000000000000001,0,2,40.17,-0.16999999999999993,0.004,-0.032,0.037,0.535,0.228,0.015,-0.099,1,41.0,1
10337,0.001,0.001,1,0,41.54,-0.14000000000000057,-0.002,-0.031,0.029,0.539,0.234,0.024,-0.081,1,42.0,1
10338,-0.007,-0.007,0,1,36.19,-0.1999999999999993,-0.013,-0.033,0.021,0.474,0.17,-0.035,-0.127,1,43.0,1
10339,0.004,0.004,1,0,41.59,-0.16000000000000014,-0.017,-0.03,0.013,0.509,0.206,0.005,-0.079,1,44.0,1
10340,-0.005,-0.005,0,1,37.34,-0.20999999999999908,-0.025,-0.03,0.006,0.455,0.153,-0.043,-0.117,0,45.0,1
10341,0.0,0.0,0,0,37.34,-0.1999999999999993,-0.03,-0.028,-0.002,0.45,0.15,-0.042,-0.106,0,46.0,1
10342,0.0,0.0,0,0,37.34,-0.1899999999999995,-0.034,-0.026,-0.008,0.446,0.147,-0.04,-0.096,0,47.0,1
